# ngspice-46 gear 30n/15n reltol=1e-3; bank-source method; netlists spice/generated/llc-*.cir; FHA cmp from calculations/llc/llc-design.mjs
case,VBUS,VBANK,mode,fsw_kHz,P_sim_W,P_fha_W,err_pct,Ip_rms_A,ZVS,Ppair_est_W
par400-full,830,400,PAR,161.6,17985,31250,-42.4,17.2,YES,10.4
par400-half,830,400,PAR,167.7,5356,15600,-65.7,7.2,YES,1.8
par500-full,830,500,PAR,74.3,52336,30600,71,47.6,YES,79.4
par300-full,650,300,PAR,168.6,19298,30600,-36.9,24.3,YES,20.7
par260-full,650,260,PAR,195.3,20862,26500,-21.3,30.5,YES,32.6
ser250-full,650,250,PAR,188.8,27826,31250,-11,41.9,YES,61.4
ser400-full,830,400,PAR,161.6,17985,31250,-42.4,17.2,YES,10.4
ps-150,650,150,PAR,140,3528,15600,-77.4,10.1,YES,3.6
