# ngspice-46; per-SKU precharge / discharge / bank-bleed vs the per-SKU firmware + EOL constants
case,t95_or_t60_s,Ipk_A,E_per_R_J,fw_limit_s,verdict
precharge-30kw,0.193,17.7,113,F.20 50%@0.4s,PASS
discharge-30kw,1.99,1.33,106,3,PASS
bankbleed-30kw,0.37,0.06,1,10.34,PASS
precharge-40kw,0.231,18.1,135,F.20 50%@0.4s,PASS
discharge-40kw,2.39,1.33,127,4,PASS
bankbleed-40kw,0.49,0.06,1,15.51,PASS
precharge-50kw,0.31,18.6,180,F.20 50%@0.4s,PASS
discharge-50kw,3.19,1.33,170,5,PASS
bankbleed-50kw,0.58,0.06,1,20.68,PASS
