# dpt-pfc 30kw — ngspice-46, decks in spice/generated/dpt-pfc-30kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p | cs=0p | RgOn=4.7 RgOff=4.7 | Lloop=5nH | Voff=-3V | model=sic-behavioral.lib:SIC750_10R | mirror=0
# PASS = Vds_pk <= 85 % of 750 V on REPETITIVE corners (at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V (the PFC freewheel is a JBS diode — no gate to hold off)
# inputs 95179813d683 <- calculations/out/vienna-switched.csv
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
L5-clamped,final,425,94,0,4.7,5,671.7,16.81,222.5,526.5,70.2,49.4,,-3,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L5-UNCLAMPED,final,425,94,0,4.7,5,776.5,19.44,216,568.2,75.8,55.6,,-3.03,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn"
L7-clamped,sensitivity,425,94,0,4.7,7,672,16.82,208,530.6,70.7,49.1,,-3,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L7-UNCLAMPED,sensitivity,425,94,0,4.7,7,805.1,20.15,201.8,584.4,77.9,55.7,,-3,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn"
L10-clamped,sensitivity,425,94,0,4.7,10,672.3,16.83,190.3,534.7,71.3,49.2,,-3,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L10-UNCLAMPED,sensitivity,425,94,0,4.7,10,844.9,21.15,184.2,606.5,80.9,55.4,,-3,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn"
final-UNCLAMPED-vhi,final,450.5,94,0,4.7,5,850.4,20.08,242.1,594.3,79.2,56.4,,-3.03,,PASS,"+6 % bus, unclamped polarity — a line excursion, 90 % limit"
