part,example_ref,pin_name,logical_pin,physical_pin,lcsc
SMBJ18A,DTVS15,C,,1,ORDERABLE
SMBJ28A,DTVS24,A,,2,ORDERABLE
SMBJ28A,DTVS24,C,,1,ORDERABLE
STUD-M8,JDCP,P,1,1,CLASS
TACT-6x6,SW1,P1,1,1,C318884
TACT-6x6,SW1,P3,3,3,C318884
TLP152-class,UQD,Anode,,1,C17255258
TLP152-class,UQD,Cathode,,3,C17255258
TLP152-class,UQD,GND,,4,C17255258
TLP152-class,UQD,VO,,5,C17255258
TLP152-class,UQD,VCC,6,6,C17255258
TLV3202-class,U1W,OUTA,1,1,CLASS
TLV3202-class,U1W,INAN,2,2,CLASS
TLV3202-class,U1W,INAP,3,3,CLASS
TLV3202-class,U1W,GND,4,4,CLASS
TLV3202-class,U1W,INBP,5,5,CLASS
TLV3202-class,U1W,INBN,6,6,CLASS
TLV3202-class,U1W,OUTB,7,7,CLASS
TLV3202-class,U1W,VCC,8,8,CLASS
TLV9061-class,UAVB,OUT,1,1,C398358
TLV9061-class,UAVB,IN-,,4,C398358
TLV9061-class,UAVB,IN+,,3,C398358
TLV9061-class,UAVB,V-,,2,C398358
TLV9061-class,UAVB,V+,,5,C398358
TP-1mm-PAD,TPWDICARD,P,1,1,CLASS
TPS3430-class,USUPCARD,WDI,7,7,C2870545
TPS3430-class,USUPCARD,GND,5,5,C2870545
TPS3430-class,USUPCARD,EP,,11,C2870545
TPS3430-class,USUPCARD,SET0,3,3,C2870545
TPS3430-class,USUPCARD,SET1,6,6,C2870545
TPS3430-class,USUPCARD,WDO#,,8,C2870545
TPS3430-class,USUPCARD,VDD2,10,10,C2870545
TPS3430-class,USUPCARD,VDD1,,1,C2870545
TPS3430-class,USUPCARD,CRST,4,4,C2870545
TPS54202-class,UBKA,VIN,3,3,C191884
TPS54202-class,UBKA,GND,1,1,C191884
TPS54202-class,UBKA,SW,2,2,C191884
TPS54202-class,UBKA,FB,4,4,C191884
TPS54202-class,UBKA,EN,5,5,C191884
TPS54202-class,UBKA,BOOT,,6,C191884
UF-400V-3A,DAUX24,A,,2,C3039981
UF-400V-3A,DAUX24,C,,1,C3039981
ULN2803A,UPA,IN1,1,1,C2865085
ULN2803A,UPA,IN2,2,2,C2865085
ULN2803A,UPA,IN3,3,3,C2865085
ULN2803A,UPA,IN4,4,4,C2865085
ULN2803A,UPA,IN5,5,5,C2865085
ULN2803A,UPA,IN6,6,6,C2865085
ULN2803A,UPA,IN7,7,7,C2865085
ULN2803A,UPA,IN8,8,8,C2865085
ULN2803A,UPA,GND,9,9,C2865085
ULN2803A,UPA,COM,10,10,C2865085
ULN2803A,UPA,OUT2,17,17,C2865085
ULN2803A,UPA,OUT1,18,18,C2865085
US1M,DA0GS1,A,,2,C412437
US1M,DA0GS1,C,,1,C412437
US2G,DAUX15,A,,2,C49263
US2G,DAUX15,C,,1,C49263
VOM1271T,UPVA,A1,,1,C146286
VOM1271T,UPVA,C1,,2,C146286
VOM1271T,UPVA,A2,,4,C146286
VOM1271T,UPVA,C2,,3,C146286
WW-470R-10W,RA0C,A,1,1,CLASS
WW-470R-10W,RA0C,B,2,2,CLASS
XFMR-AUX-FLY-E,TAUX,P1,1,1,CUSTOM
XFMR-AUX-FLY-E,TAUX,P2,2,2,CUSTOM
XFMR-AUX-FLY-E,TAUX,AXA,3,3,CUSTOM
XFMR-AUX-FLY-E,TAUX,AXB,4,4,CUSTOM
XFMR-AUX-FLY-E,TAUX,S24A,5,5,CUSTOM
XFMR-AUX-FLY-E,TAUX,S24B,6,6,CUSTOM
XFMR-AUX-FLY-E,TAUX,S15A,7,7,CUSTOM
XFMR-AUX-FLY-E,TAUX,S15B,8,8,CUSTOM
XFMR-LLC-CELL-2E70-30,T1A,P1,1,1,CUSTOM
XFMR-LLC-CELL-2E70-30,T1A,P2,2,2,CUSTOM
XFMR-LLC-CELL-2E70-30,T1A,SH,3,3,CUSTOM
XFMR-LLC-CELL-2E70-30,T1A,SA,4,4,CUSTOM
XFMR-LLC-CELL-2E70-30,T1A,SB,5,5,CUSTOM
XTAL-8M-30PPM-3225,XCARD,X1,1,1,CLASS
XTAL-8M-30PPM-3225,XCARD,G1,2,2,CLASS
XTAL-8M-30PPM-3225,XCARD,X2,3,3,CLASS
XTAL-8M-30PPM-3225,XCARD,G2,4,4,CLASS
