"batch","result1","result2","result3","verdict"
"A tank","fr 135.1–144.7 kHz (1–99%)","peak gain p1=1.273 (need 1.265) → fail 0.01%","Im p99=12.9 A (≤14) · ZVS fail 0%","PASS (residual ≤0.1% covered by per-unit EOL gain-cal fallback, E7)"
"B PFC choke ±12%","worst ΔIpp 24.2 A (design 21.4, OC threshold headroom to 105 A pk)","ripple>26 A: 0%","soft-sat floor fail: 0%","PASS"
"C Vout chain","pre-cal ±0.7% (99% CI) → CAL REQUIRED","post-2pt-cal ±0.18% over ±40 °C","spec ±0.5%","PASS (with EOL cal)"
"D Iout chain","post-cal ±0.2% (99% CI, ±40 °C)","shunt tempco 30 ppm class + amp drift","spec ±1%","PASS (with EOL cal)"
"E lane sharing","static error nulled by per-lane PI; residual from CT gain: ±0.62% (99% CI)","≤ ±2% budget for thermal symmetry","","PASS"
"F dead-time","min margin 42.1 ns across N=10k (dt 120 ns nom)","shoot-through requires margin ≤0","","PASS"
