sku,pfc_semis_W,pfc_mag_W,dclink_W,llc_pri_W,xfmr_W,tank_W,sec_jbs_W,sec_sr_W,busbar_shunt_W,emi_filter_W,aux_gate_W,fans_W,total_jbs_W,eta_jbs_pct,total_sr_W,eta_sr_pct
30kW,158.4,84.1,12,88.3,54.1,21,360.4,146.7,1.7,30.2,38,20,868.1,97.19,654.5,97.86
40kW,242,94.5,17.8,151.6,73.5,29.2,520.6,258.5,3.1,43.8,38,20,1234.2,97.01,972.1,97.63
50kW,340.9,127.2,27.8,231.9,86.1,41.9,701,402.3,4.9,62.7,38,0,1662.4,96.78,1363.7,97.34
50kWa,340.9,127.2,27.8,116.5,84.9,42.3,701,402.3,4.9,62.7,38,40,1586.1,96.93,1287.4,97.49
