inlet_C,percent_power
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,97
57,94
58,91
59,88
60,85
61,82
62,79
63,76
64,73
65,70
66,67
67,64
68,61
69,58
70,55
71,52
72,49
73,46
74,43
75,40
76,37
77,34
78,31
79,28
80,25
