# E60 cycle-by-cycle Vienna (calculations/pfc/vienna-switched.mjs): ideal devices, catalog 26µ L(i), stiff grid; E65 D1 excitation (ripple rms, iGSE Kool Mµ 26, switch-end peak)
sku,case,VLL,bus_V,lot_AL,Pout_W,Irms_A,I1pk_A,Ipk_A,ripple_half_A,L_at_pk_uH,Isw_rms_A,Id_avg_A,Id_rms_A,Id_pk_A,THD40_pct,track_err,overmod_pct,vbus_min,vbus_max,mid_dev_V,band150_pk_A,lisn_basis_150_pk_A,Ihf_rms_A,dBpp_max_mT,Pfe_igse_W,vMN_pk_V,vSwN_pk_V,note
50kw,330-full-bus800-nom,330,800,1,50000,91.7,129,153.3,24.3,40.5,61.7,21.7,47.9,153.1,0.15,0.101,0,797,798,3,1.177,1.567,8.96,83.5,5.01,172,496,"design point (pack operating row)"
50kw,400-full-bus830-nom,400,830,1,50000,75.5,106.2,127.6,21.4,48.2,45.4,20.9,42.7,127.5,0.09,0.104,0,828,828,2.9,0.563,1.567,7.64,87,4.89,178,528,"E65 rated point (loss budget: 400 VAC, bank 400 V puts the bus at the 830 V cap)"
50kw,285-derated-bus650,285,650,0.92,43182,91.6,129.1,150.3,21.2,38,59.3,23.1,49.4,150.1,0.15,0.089,0,647,647,3.1,0.855,1.567,7.78,67.4,3.23,141,403,"low-line derate floor"
50kw,475-full-bus650,475,650,1,50000,63.9,89.3,111.5,22.2,54.1,13.5,25.9,44.2,110.5,15.6,0.163,75,662,671,3.2,0.48,1.567,10.11,47,0.89,143,440,"AS-IS policy at high line: bus BELOW line-line peak 672 V"
50kw,475-full-busFloor,475,725,1,50000,63.3,89.3,100.3,11,58.7,22.8,23.9,41.7,100.3,0.12,0.058,0,723,724,3.3,0.84,1.567,3.48,51.9,1.65,158,473,"E60 line-tracking floor 1.08·√2·VLL"
50kw,500-full-bus650,500,650,1,50000,64.6,84.9,142.1,57.2,43.7,10.1,24.7,45,139.2,39.82,0.408,91.3,689,712,2.5,0.461,1.567,24,49.9,0.97,141,467,"F.07 edge, AS-IS: 707 V line peak"
50kw,500-full-busFloor,500,764,1,50000,60.1,84.8,96.2,11.3,60.5,21.7,22.7,39.6,96.1,0.09,0.062,0,762,762,3.1,0.863,1.567,3.58,54.4,1.82,164,499,"F.07 edge with the floor"
50kw,330-full-dip70-10ms-recovery,330,830,0.92,50000,92.9,136.7,158.8,22.1,35.9,60.9,19.6,45.7,157.9,5.08,0.125,0,692,827,4.4,1.018,1.567,7.29,86.7,4.12,242,514,"IEC 61000-4-11-class 30 % dip, 10 ms, recovery at the crest-worst corner"
50kw,330-full-jump20deg,330,830,0.92,50000,89.6,133.7,156.6,22.8,36.5,61.8,19.1,44.9,156.4,13.17,0.108,0,827,828,3.4,1.426,1.567,22.05,87.3,5.28,275,514,"20° phase jump at the crest (weak-grid switching event)"
50kw,330-full-dip50-5ms-recovery,330,830,0.92,50000,91.6,137.1,159.3,22.2,35.8,59.7,19.6,45.7,158.6,13.78,0.105,0,703,827,4,0.87,1.567,13.43,80.8,4.15,251,522,"50 % dip, 5 ms, recovery mid-slope"
