fsw_kHz,ripple_frac,dIpp_A,L_uH,Ipk_incl_ripple_A,E_half_LI2_J
40,0.15,11.7,227.9,83.5,0.795
40,0.25,19.4,136.8,87.4,0.522
50,0.15,11.7,182.3,83.5,0.636
50,0.25,19.4,109.4,87.4,0.418
70,0.15,11.7,130.2,83.5,0.454
70,0.25,19.4,78.1,87.4,0.299
100,0.15,11.7,91.2,83.5,0.318
100,0.25,19.4,54.7,87.4,0.209
