fsw_kHz,geom_mat,stack,N,L0_uH,Lpk_uH,dIpp_A,dB_mT,Pcu_W,Pfe_W,Pind_W,dT_C,ind_cost,Ppair_W,Tj_C,Pdiode_W,Pstage_W,emi_proxy,total_score
40,T79 (OD79/ID49/H17 sendust)|26u|21.5mm2,5,29,179,105.3,21.2,65.8,27.3,2.2,29.5,23,2516,50.6,131,28,324,900,27909
50,T79 (OD79/ID49/H17 sendust)|26u|21.5mm2,4,29,143.2,84.2,21.2,65.8,23.8,2.4,26.2,24,2116,54.8,138,28,327,750,26719
