# dpt-pfc 50kw — ngspice-46, decks in spice/generated/dpt-pfc-50kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p | cs=0p | RgOn=4.7 RgOff=4.7 | Lloop=5nH | Voff=-3V | model=sic-behavioral.lib:SIC750_10R | mirror=1
# PASS = Vds_pk <= 85 % of 750 V on REPETITIVE corners (E81: 85 % at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V (the PFC freewheel is a JBS diode — no gate to hold off)
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
L5-clamped,final,425,157,0,4.7,5,1263.3,18.93,359.4,564.9,75.3,64.1,,-3.01,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L5-UNCLAMPED,final,425,157,0,4.7,5,1263.3,18.93,359.4,564.9,75.3,64.1,,-3.01,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn (F-C-13) — MIRROR CLAMP FITTED on this SKU (parts-db MIRROR_CLAMP): clamped on both half-cycles"
L7-clamped,sensitivity,425,157,0,4.7,7,1263.6,18.94,333.8,572.2,76.3,64.1,,-3,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L7-UNCLAMPED,sensitivity,425,157,0,4.7,7,1263.6,18.94,333.8,572.2,76.3,64.1,,-3,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn (F-C-13) — MIRROR CLAMP FITTED on this SKU (parts-db MIRROR_CLAMP): clamped on both half-cycles"
L10-clamped,sensitivity,425,157,0,4.7,10,1264.1,18.94,302.2,579.8,77.3,64.6,,-3,,PASS,"positive half-cycle — PH above DCP, the drawn RCD clamps it"
L10-UNCLAMPED,sensitivity,425,157,0,4.7,10,1264.1,18.94,302.2,579.8,77.3,64.6,,-3,,PASS,"negative half-cycle — PH below DCN, NO clamp as drawn (F-C-13) — MIRROR CLAMP FITTED on this SKU (parts-db MIRROR_CLAMP): clamped on both half-cycles"
final-UNCLAMPED-vhi,final,450.5,157,0,4.7,5,1380.5,19.52,397.4,590.9,78.8,65,,-3.01,,PASS,"+6 % bus, negative polarity with the MIRROR CLAMP fitted — a line excursion, 90 % limit"
