# E65 internal-short |Ip| running max after the 300 µs bank collapse; 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p
# E81: ip_plusNus_A = the running max N µs LATER — the kill-path budgets (0.5 µs real, 1 µs conservative, 3 µs observability)
t_after_short_us,ip_abs_runmax_A,ip_plus0.5us_A,ip_plus1us_A,ip_plus3us_A
0.00,72.39,72.39,114.14,302.52
0.05,72.39,72.39,124.03,302.52
0.10,72.39,72.39,139.55,302.52
0.15,72.39,72.39,150.92,302.52
0.20,72.39,72.39,162.03,302.52
0.25,72.39,72.39,176.42,302.52
0.30,72.39,72.39,186.88,302.52
0.35,72.39,72.39,197.02,302.52
0.40,72.39,86.74,210.04,302.52
0.45,72.39,98.52,219.40,302.52
0.50,72.39,114.14,228.40,302.52
0.55,72.39,124.03,239.83,302.52
0.60,72.39,139.55,247.94,302.52
0.65,72.39,150.92,255.66,302.52
0.70,72.39,162.03,265.30,302.52
0.75,72.39,176.42,272.04,302.52
0.80,72.39,186.88,278.34,311.23
0.85,72.39,197.02,286.05,328.62
0.90,86.74,210.04,291.29,345.46
0.95,98.52,219.40,296.08,367.04
1.00,114.14,228.40,301.67,382.52
1.05,124.03,239.83,302.52,397.38
1.10,139.55,247.94,302.52,416.19
1.15,150.92,255.66,302.52,429.51
1.20,162.03,265.30,302.52,442.13
1.25,176.42,272.04,302.52,457.86
1.30,186.88,278.34,302.52,468.80
1.35,197.02,286.05,302.52,478.99
1.40,210.04,291.29,302.52,491.38
1.45,219.40,296.08,302.52,500.81
1.50,228.40,301.67,302.52,504.36
1.55,239.83,302.52,302.52,504.36
1.60,247.94,302.52,302.52,504.36
1.65,255.66,302.52,302.52,504.36
1.70,265.30,302.52,302.52,504.36
1.75,272.04,302.52,302.52,504.36
1.80,278.34,302.52,302.52,504.36
1.85,286.05,302.52,302.52,504.36
1.90,291.29,302.52,302.52,504.36
1.95,296.08,302.52,302.52,504.36
2.00,301.67,302.52,302.52,504.36
2.05,302.52,302.52,302.52,504.36
2.10,302.52,302.52,302.52,504.36
2.15,302.52,302.52,302.52,504.36
2.20,302.52,302.52,302.52,504.36
2.25,302.52,302.52,302.52,504.36
2.30,302.52,302.52,302.52,504.36
2.35,302.52,302.52,302.52,504.36
2.40,302.52,302.52,302.52,504.36
2.45,302.52,302.52,302.52,504.36
2.50,302.52,302.52,302.52,504.36
2.55,302.52,302.52,302.52,504.36
2.60,302.52,302.52,302.52,504.36
2.65,302.52,302.52,302.52,504.36
2.70,302.52,302.52,302.52,504.36
2.75,302.52,302.52,302.52,504.36
2.80,302.52,302.52,311.23,504.36
2.85,302.52,302.52,328.62,504.36
2.90,302.52,302.52,345.46,504.36
2.95,302.52,302.52,367.04,504.36
3.00,302.52,302.52,382.52,504.36
3.05,302.52,302.52,397.38,504.36
3.10,302.52,302.52,416.19,504.36
3.15,302.52,302.52,429.51,504.36
3.20,302.52,302.52,442.13,504.36
3.25,302.52,302.52,457.86,504.36
3.30,302.52,311.23,468.80,504.36
3.35,302.52,328.62,478.99,504.36
3.40,302.52,345.46,491.38,504.36
3.45,302.52,367.04,500.81,504.36
3.50,302.52,382.52,504.36,504.36
3.55,302.52,397.38,504.36,504.36
3.60,302.52,416.19,504.36,504.36
3.65,302.52,429.51,504.36,504.36
3.70,302.52,442.13,504.36,504.36
3.75,302.52,457.86,504.36,504.36
3.80,311.23,468.80,504.36,504.36
3.85,328.62,478.99,504.36,504.36
3.90,345.46,491.38,504.36,520.60
3.95,367.04,500.81,504.36,537.04
4.00,382.52,504.36,504.36,542.53
4.05,397.38,504.36,504.36,547.93
4.10,416.19,504.36,504.36,551.75
4.15,429.51,504.36,504.36,554.25
4.20,442.13,504.36,504.36,555.89
4.25,457.86,504.36,504.36,556.72
4.30,468.80,504.36,504.36,556.72
4.35,478.99,504.36,504.36,556.72
4.40,491.38,504.36,504.36,556.72
4.45,500.81,504.36,504.36,556.72
4.50,504.36,504.36,504.36,556.72
4.55,504.36,504.36,504.36,556.72
4.60,504.36,504.36,504.36,556.72
4.65,504.36,504.36,504.36,556.72
4.70,504.36,504.36,504.36,556.72
4.75,504.36,504.36,504.36,556.72
4.80,504.36,504.36,504.36,556.72
4.85,504.36,504.36,504.36,556.72
4.90,504.36,504.36,504.36,556.72
4.95,504.36,504.36,504.36,556.72
5.00,504.36,504.36,504.36,556.72
5.05,504.36,504.36,504.36,556.72
5.10,504.36,504.36,504.36,556.72
5.15,504.36,504.36,504.36,556.72
5.20,504.36,504.36,504.36,556.72
5.25,504.36,504.36,504.36,556.72
5.30,504.36,504.36,504.36,556.72
5.35,504.36,504.36,504.36,556.72
5.40,504.36,504.36,504.36,556.72
5.45,504.36,504.36,504.36,556.72
5.50,504.36,504.36,504.36,556.72
5.55,504.36,504.36,504.36,556.72
5.60,504.36,504.36,504.36,556.72
5.65,504.36,504.36,504.36,556.72
5.70,504.36,504.36,504.36,556.72
5.75,504.36,504.36,504.36,556.72
5.80,504.36,504.36,504.36,556.72
5.85,504.36,504.36,504.36,556.72
5.90,504.36,504.36,520.60,556.72
5.95,504.36,504.36,537.04,556.72
6.00,504.36,504.36,542.53,556.72
6.05,504.36,504.36,547.93,556.72
6.10,504.36,504.36,551.75,556.72
6.15,504.36,504.36,554.25,556.72
6.20,504.36,504.36,555.89,556.72
6.25,504.36,504.36,556.72,556.72
6.30,504.36,504.36,556.72,556.72
6.35,504.36,504.36,556.72,556.72
6.40,504.36,520.60,556.72,556.72
6.45,504.36,537.04,556.72,556.72
6.50,504.36,542.53,556.72,556.72
6.55,504.36,547.93,556.72,556.72
6.60,504.36,551.75,556.72,556.72
6.65,504.36,554.25,556.72,556.72
6.70,504.36,555.89,556.72,556.72
6.75,504.36,556.72,556.72,556.72
6.80,504.36,556.72,556.72,556.72
6.85,504.36,556.72,556.72,556.72
6.90,520.60,556.72,556.72,556.72
6.95,537.04,556.72,556.72,556.72
7.00,542.53,556.72,556.72,556.72
7.05,547.93,556.72,556.72,556.72
7.10,551.75,556.72,556.72,556.72
7.15,554.25,556.72,556.72,556.72
7.20,555.89,556.72,556.72,556.72
7.25,556.72,556.72,556.72,556.72
7.30,556.72,556.72,556.72,556.72
7.35,556.72,556.72,556.72,556.72
7.40,556.72,556.72,556.72,556.72
7.45,556.72,556.72,556.72,556.72
7.50,556.72,556.72,556.72,556.72
7.55,556.72,556.72,556.72,556.72
7.60,556.72,556.72,556.72,556.72
7.65,556.72,556.72,556.72,556.72
7.70,556.72,556.72,556.72,556.72
7.75,556.72,556.72,556.72,556.72
7.80,556.72,556.72,556.72,556.72
7.85,556.72,556.72,556.72,556.72
7.90,556.72,556.72,556.72,556.72
7.95,556.72,556.72,556.72,556.72
8.00,556.72,556.72,556.72,556.72
8.05,556.72,556.72,556.72,556.72
8.10,556.72,556.72,556.72,556.72
8.15,556.72,556.72,556.72,556.72
8.20,556.72,556.72,556.72,556.72
8.25,556.72,556.72,556.72,556.72
8.30,556.72,556.72,556.72,556.72
8.35,556.72,556.72,556.72,556.72
8.40,556.72,556.72,556.72,556.72
8.45,556.72,556.72,556.72,556.72
8.50,556.72,556.72,556.72,556.72
8.55,556.72,556.72,556.72,556.72
8.60,556.72,556.72,556.72,556.72
8.65,556.72,556.72,556.72,556.72
8.70,556.72,556.72,556.72,556.72
8.75,556.72,556.72,556.72,556.72
8.80,556.72,556.72,556.72,556.72
8.85,556.72,556.72,556.72,556.72
8.90,556.72,556.72,556.72,556.72
8.95,556.72,556.72,556.72,556.72
9.00,556.72,556.72,556.72,556.72
9.05,556.72,556.72,556.72,556.72
9.10,556.72,556.72,556.72,556.72
9.15,556.72,556.72,556.72,556.72
9.20,556.72,556.72,556.72,556.72
9.25,556.72,556.72,556.72,556.72
9.30,556.72,556.72,556.72,556.72
9.35,556.72,556.72,556.72,556.72
9.40,556.72,556.72,556.72,556.72
9.45,556.72,556.72,556.72,556.72
9.50,556.72,556.72,556.72,556.72
9.55,556.72,556.72,556.72,556.72
9.60,556.72,556.72,556.72,556.72
9.65,556.72,556.72,556.72,556.72
9.70,556.72,556.72,556.72,556.72
9.75,556.72,556.72,556.72,556.72
9.80,556.72,556.72,556.72,556.72
9.85,556.72,556.72,556.72,556.72
9.90,556.72,556.72,556.72,556.72
9.95,556.72,556.72,556.72,556.72
10.00,556.72,556.72,556.72,556.72
